flow_id,size_bytes,start_time,end_time,fct
0,52330,0.5,1,0.5
1,20584,0.55715,1.05715,0.5
2,17358,0.677169,1.17717,0.5
3,49218,0.774226,1.27423,0.5
4,80810,0.862608,1.36261,0.5
5,17420,0.930776,1.43078,0.5
6,64624,0.943128,1.44313,0.5
7,76469,0.968748,1.46875,0.5
8,86645,0.987119,1.48712,0.5
9,149519,1.0531,1.65118,0.598076
10,82589,1.52253,2.02253,0.5
11,16301,1.85649,2.35649,0.5
12,60774,2.02213,2.52213,0.5
13,53191,2.32948,2.82948,0.5
14,77132,2.35446,2.85446,0.5
15,45974,2.49926,2.99926,0.5
16,61018,2.53825,3.03825,0.5
17,7392,2.57734,3.07734,0.5
18,26017,2.83845,3.33845,0.5
19,52743,2.92584,3.42584,0.5
20,8298,3.07172,3.57172,0.5
21,15751,3.15179,3.65179,0.5
22,114060,3.48002,3.98002,0.5
23,63299,3.50418,4.00418,0.5
24,66275,3.65844,4.15844,0.5
26,8793,3.68409,4.18409,0.5
27,82432,3.71471,4.21471,0.5
29,47069,4.01686,4.51686,0.5
30,20282,4.20811,4.70811,0.5
31,58412,4.21813,4.71813,0.5
32,164150,4.25013,4.90673,0.6566
25,312786,3.67282,4.92397,1.25114
33,6093,4.69675,5.19675,0.5
34,36177,4.71439,5.21439,0.5
35,11658,4.84977,5.34977,0.5
36,29887,5.01732,5.51732,0.5
37,108985,5.02043,5.52043,0.5
38,44594,5.19161,5.69161,0.5
39,52683,5.302,5.802,0.5
40,35225,5.35919,5.85919,0.5
41,22694,5.41799,5.91799,0.5
43,109504,5.70125,6.20125,0.5
44,38647,5.8143,6.3143,0.5
45,41877,6.00314,6.50314,0.5
46,14247,6.02116,6.52116,0.5
48,50575,6.19043,6.69043,0.5
42,300250,5.55092,6.75192,1.201
49,34295,6.26097,6.76097,0.5
50,72029,6.30345,6.80345,0.5
47,211354,6.04358,6.88899,0.845416
51,17413,6.48817,6.98817,0.5
52,15935,6.57392,7.07392,0.5
53,32642,6.77595,7.27595,0.5
54,31746,6.78933,7.28933,0.5
55,22134,6.92052,7.42052,0.5
56,73642,7.12164,7.62164,0.5
58,59885,7.26514,7.76514,0.5
28,977670,3.89663,7.80731,3.91068
59,45853,7.31406,7.81406,0.5
60,9208,7.64759,8.14759,0.5
57,230762,7.24883,8.17188,0.923048
61,14632,7.76549,8.26549,0.5
62,17299,7.90422,8.40422,0.5
63,23683,7.98108,8.48108,0.5
64,64031,8.03631,8.53631,0.5
65,18733,8.04704,8.54704,0.5
66,36589,8.05327,8.55327,0.5
67,20717,8.06245,8.56245,0.5
