flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,10959,8855,3007,4,74.3397,0.535434
2,10529,8787,2406,4,72.2084,0.531321
3,11283,9537,2324,4,73.5784,0.576681
4,10846,8830,2847,4,73.2155,0.533922
5,12371,10532,2397,4,74.0246,0.636859
6,6868,6868,0,13736,12.0619,0.0171525
7,6646,6646,0,13292,12.0608,0.0162888
8,7309,7309,0,14618,12.0607,0.017903
9,6848,6843,0,13686,12.0617,0.0170624
10,8078,8078,0,16156,12.0614,0.0200219
11,49,30,28,10,76.7667,0.00158376
12,27,27,0,54,12.037,7.168e-05
13,38,34,4,10,76.1471,0.00176992
14,29,17,16,8,77.7059,0.00084116
15,51,23,42,8,77.8261,0.00119264
16,24,24,0,48,12.0417,5.392e-05
17,12,12,0,24,12,2.608e-05
18,17,17,0,34,12,3.648e-05
19,22,22,0,8,62.6818,0.00113772
20,15,15,0,8,76.3333,0.00070272
21,12,12,0,24,12,2.512e-05
22,9,9,0,18,12,1.888e-05
23,16,16,0,8,56.75,0.0007836
24,18,18,0,8,71.2778,0.0008846
25,9,9,0,18,12,1.888e-05
26,10,10,0,20,12,2.096e-05
27,69,69,0,8,77.4928,0.00397944
28,36,36,0,72,12.0278,7.504e-05
29,8,8,0,8,70.875,0.00028748
30,5,5,0,10,12,1.056e-05
31,99,93,6,10,79.7634,0.00541328
32,68,68,0,136,12.0588,0.00016464
33,103,84,19,10,76.1667,0.00486392
34,138,121,18,8,69.8678,0.00708664
35,75,75,0,150,12.0533,0.0001904
36,88,88,0,176,12.0568,0.00021936
37,36,33,3,10,71.5758,0.00173632
38,24,24,0,48,12.0417,5.584e-05
39,29,29,0,8,73.4483,0.00153344
40,16,16,0,32,12,3.344e-05
41,12,12,0,8,33.3333,0.00050292
42,7,7,0,14,12,1.472e-05
43,30,30,0,8,55.1667,0.0016144
44,24,24,0,8,61.4167,0.00123876
45,16,16,0,32,12,3.344e-05
46,13,13,0,26,12,2.72e-05
47,13,13,0,8,33.4615,0.0005664
48,8,8,0,16,12,1.68e-05
49,59,51,8,10,74.4118,0.00281344
50,31,20,11,8,80.45,0.00099916
51,39,39,0,78,12.0513,0.0001008
52,14,14,0,28,12,3.12e-05
53,41,27,20,8,79.8889,0.00143776
54,145,117,32,10,80.1795,0.00683864
55,23,23,0,46,12.0435,5.504e-05
56,50,41,9,8,79.2683,0.00228304
57,101,101,0,202,12.0594,0.00025152
58,96,47,68,8,82.5957,0.00261724
59,33,33,0,66,12.0606,8.416e-05
60,44,44,0,88,12.0682,0.00012432
61,70,49,26,10,79.1837,0.00269624
62,118,85,46,8,73.2941,0.00496344
63,35,21,14,8,77.9048,0.00106608
64,119,80,46,8,78.0625,0.00462368
65,46,46,0,92,12.0652,0.00012464
66,72,72,0,144,12.0556,0.00017712
67,18,18,0,36,12.0556,4.144e-05
68,71,71,0,142,12.0563,0.00018016
69,10,10,0,8,76,0.00039
70,23,20,3,8,84.3,0.00097636
71,6,6,0,12,12,1.264e-05
72,43,25,23,8,76.4,0.00127912
73,12,12,0,24,12,2.704e-05
74,40,33,7,8,78.1212,0.0017834
75,22,22,0,44,12.0455,5.616e-05
76,128,108,24,10,78.8796,0.00631432
77,21,21,0,42,12.0476,4.608e-05
78,95,95,0,190,12.0526,0.00023872
79,104,83,25,8,80.241,0.00482388
80,13,9,4,8,76.1111,0.00034992
81,73,73,0,146,12.0548,0.0002
82,7,7,0,14,12,1.536e-05
83,61,45,16,8,83.4,0.00251208
84,65,42,29,10,76.4286,0.00226624
85,38,38,0,76,12.0526,0.00010224
86,128,81,66,8,76.8025,0.00469208
87,40,40,0,80,12.05,0.00011024
88,74,55,19,8,79.2909,0.003146
89,58,39,26,8,80.8205,0.00216448
90,71,71,0,142,12.0563,0.00019328
91,64,42,40,8,78.381,0.00231388
92,48,27,38,8,78.8889,0.00143004
93,47,47,0,94,12.0638,0.00012384
94,35,35,0,70,12.0571,9.632e-05
95,66,50,17,10,79.42,0.00280888
96,37,37,0,74,12.0541,9.12e-05
97,25,25,0,50,12.04,6.4e-05
98,44,44,0,88,12.0455,0.00012144
99,35,22,14,8,80.5,0.00111052
100,49,36,17,8,80.5,0.0019716
101,17,17,0,34,12,3.936e-05
102,332,282,55,10,76.6879,0.016808
103,31,31,0,62,12.0323,7.936e-05
104,223,223,0,446,12.0583,0.000536
105,71,54,20,8,79.4074,0.00308792
106,76,69,7,8,74.8406,0.0039422
107,42,42,0,84,12.0476,0.00011152
108,15,11,5,8,75.4545,0.0004612
109,56,56,0,112,12.0536,0.00012688
110,8,8,0,16,12,1.744e-05
111,18,18,0,8,73.5,0.00085936
112,10,10,0,20,12,2.096e-05
113,14,14,0,8,48.2143,0.0006656
114,37,37,0,8,59.2432,0.00204332
115,8,8,0,16,12,1.68e-05
116,20,20,0,40,12.05,4.176e-05
