flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,11546,9596,2525,4,74.013,0.580249
2,10119,8391,2320,4,72.4394,0.507371
3,9518,7689,2586,4,73.4357,0.464914
4,9007,7315,2356,4,73.7899,0.442295
5,10905,8753,3043,4,72.4421,0.529265
6,7549,7545,0,15090,12.0622,0.0189443
7,6453,6453,0,12906,12.0609,0.015856
8,6167,6167,0,12334,12.0624,0.015544
9,5713,5713,0,11426,12.062,0.0142867
10,7059,7059,0,14118,12.0626,0.0178464
11,35,19,17,8,80.7895,0.00093636
12,226,171,103,8,75.8187,0.0101509
13,18,18,0,36,12.0556,4.272e-05
14,151,151,0,302,12.0596,0.0003856
15,226,200,26,8,76.38,0.0118658
16,66,45,30,8,72.9111,0.00252836
17,149,149,0,298,12.0604,0.00036704
18,35,35,0,70,12.0571,8.544e-05
19,15,15,0,8,77.1333,0.0006902
20,118,88,40,10,75.3523,0.00503592
21,53,32,39,8,73.9688,0.00174992
22,9,9,0,18,12,1.888e-05
23,77,77,0,154,12.0519,0.0002
24,18,18,0,36,12,3.76e-05
25,32,22,12,8,74.6364,0.00110992
26,32,18,25,8,60.9444,0.00089236
27,16,16,0,32,12,3.504e-05
28,11,11,0,22,12,2.304e-05
29,42,36,6,8,68.3056,0.00196456
30,31,21,12,8,76.2857,0.00104532
31,87,74,18,10,73.7432,0.0042204
32,24,24,0,48,12.0417,5.488e-05
33,13,13,0,26,12,2.72e-05
34,55,55,0,110,12.0545,0.00013184
35,50,49,1,8,68.2041,0.002737
36,103,75,43,10,76.6133,0.0043496
37,63,63,0,126,12.0635,0.00017376
38,62,43,26,10,75.9302,0.00231248
39,41,41,0,82,12.0488,0.00010656
40,53,42,11,8,80.1667,0.0023158
41,26,26,0,8,79.2692,0.00137344
42,118,100,30,8,76.65,0.0058494
43,30,30,0,60,12.0333,7.344e-05
44,14,14,0,28,12,2.928e-05
45,77,77,0,154,12.0519,0.00017696
46,49,49,0,8,77.6939,0.00276316
47,26,26,0,52,12.0385,5.424e-05
48,36,21,17,8,45.8095,0.00105248
49,17,17,0,34,12.0588,3.872e-05
50,41,41,0,8,77.0488,0.00225252
51,22,22,0,44,12.0455,4.592e-05
52,69,61,8,8,75.4098,0.00346624
53,61,44,29,8,62.4773,0.00243876
54,65,48,31,8,65.1042,0.00268788
55,101,82,34,8,74.1341,0.00473688
56,37,37,0,74,12.0541,8.384e-05
57,36,36,0,72,12.0556,8.272e-05
58,36,36,0,72,12.0556,8.368e-05
59,66,66,0,132,12.0455,0.00014992
60,91,77,16,8,62.0779,0.0044236
61,31,31,0,8,66.5806,0.00166592
62,53,53,0,106,12.0566,0.00012512
63,17,17,0,34,12,3.552e-05
64,11,11,0,8,55.8182,0.00044876
65,7,7,0,14,12,1.472e-05
66,46,46,0,8,65.6304,0.0025654
67,19,18,1,8,81.6667,0.00086552
68,24,24,0,48,12.0417,5.008e-05
69,10,10,0,20,12,2.128e-05
70,42,42,0,8,76.5,0.0023466
71,22,22,0,44,12.0455,4.592e-05
72,17,17,0,8,64.9412,0.000824
73,55,47,11,10,77.7872,0.00259368
74,116,98,31,8,34.4592,0.00574708
75,10,10,0,20,12,2.096e-05
76,39,39,0,78,12.0513,9.472e-05
77,62,62,0,124,12.0484,0.00014128
78,63,56,7,10,66.4286,0.0031264
79,37,37,0,74,12.0541,8.608e-05
80,16,16,0,8,72.6875,0.00076548
81,9,9,0,18,12,1.888e-05
82,30,30,0,8,29.3,0.00163868
83,16,16,0,32,12,3.344e-05
84,18,18,0,8,31.1111,0.00087832
85,10,10,0,20,12,2.096e-05
86,12,12,0,8,43.75,0.00053172
87,7,7,0,14,12,1.472e-05
88,24,24,0,8,42.0417,0.00127052
89,13,13,0,26,12,2.72e-05
90,406,375,33,8,63.2613,0.0225027
91,296,296,0,592,12.0608,0.00073072
92,94,78,17,8,71.8077,0.00450188
93,154,128,27,10,75.3438,0.00749696
94,17,11,6,8,79.6364,0.00046876
95,58,58,0,116,12.0517,0.00014896
96,106,106,0,212,12.0566,0.00027216
97,9,9,0,18,12,1.984e-05
98,52,31,29,8,72.7742,0.00169476
99,34,26,8,8,71.4231,0.00134888
100,78,61,17,8,69.5082,0.003493
101,30,30,0,60,12.0667,8.272e-05
102,13,11,2,8,62.1818,0.0004668
103,18,18,0,36,12.0556,4.336e-05
104,43,43,0,86,12.0465,0.00010432
105,8,8,0,16,12,1.68e-05
106,26,26,0,52,12.0385,5.424e-05
107,68,66,2,10,68.7121,0.00372608
108,55,55,0,110,12.0545,0.00012256
109,179,179,0,8,75.2626,0.0105992
110,91,91,0,182,12.044,0.00018944
111,59,46,16,10,80.7391,0.00249232
112,40,40,0,80,12.05,9.776e-05
113,36,31,5,8,73.2903,0.0016964
114,96,91,5,10,77.044,0.0052696
115,20,20,0,40,12.05,4.368e-05
116,65,65,0,130,12.0462,0.00015552
117,27,26,2,8,70.9615,0.001375
118,50,42,9,10,63.9762,0.00234736
119,52,35,28,8,38.2286,0.00189148
120,14,14,0,28,12,2.96e-05
121,34,34,0,68,12.0294,7.792e-05
122,30,30,0,60,12.0333,7.12e-05
123,18,18,0,8,55.3333,0.0009066
124,10,10,0,20,12,2.096e-05
125,18,18,0,8,40.2222,0.00085936
126,10,10,0,20,12,2.096e-05
127,324,310,14,8,64.2032,0.0185279
128,201,201,0,402,12.0547,0.0004816
129,59,48,11,8,68.9583,0.00271192
130,26,22,4,8,80.3636,0.00115012
131,36,36,0,72,12.0556,9.328e-05
132,13,13,0,26,12,2.72e-05
133,12,12,0,8,64.1667,0.00053816
