flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,11093,9355,2398,4,71.8595,0.565674
2,9821,8253,2044,4,72.5032,0.499025
3,10433,8646,2361,4,72.9862,0.522793
4,10380,8715,2189,4,73.3526,0.526967
5,10110,8444,2207,4,72.4906,0.510576
6,7127,7124,0,14248,12.0608,0.0174629
7,6161,6161,0,12322,12.0609,0.0151398
8,6630,6628,0,13256,12.0614,0.0164222
9,6687,6687,0,13374,12.061,0.0164784
10,6349,6349,0,12698,12.0606,0.0155514
11,73,57,23,8,73.5789,0.00325644
12,41,41,0,82,12.0488,9.952e-05
13,15,15,0,8,81.2,0.00073016
14,34,26,8,8,79.3077,0.00137056
15,9,9,0,18,12,1.888e-05
16,19,19,0,38,12.0526,4.512e-05
17,9,9,0,8,66.4444,0.00031452
18,6,6,0,12,12,1.264e-05
19,25,25,0,8,71.16,0.00128364
20,14,14,0,28,12,2.928e-05
21,35,35,0,8,69,0.00192076
22,19,19,0,38,12.0526,3.968e-05
23,14,14,0,8,75.7857,0.00065824
24,8,8,0,16,12,1.68e-05
25,24,24,0,8,63.9167,0.00124904
26,167,148,20,8,70,0.0087512
27,13,13,0,26,12,2.72e-05
28,117,117,0,234,12.0598,0.00028608
29,29,21,8,8,68.5714,0.00109272
30,15,15,0,30,12,3.296e-05
31,22,21,1,8,77.7143,0.00108664
32,7,7,0,8,81.5714,0.00024304
33,125,82,52,8,76.4634,0.00473208
34,12,12,0,24,12,2.512e-05
35,42,30,18,8,61.3333,0.00160908
36,47,34,19,8,72.2941,0.0018258
37,5,5,0,10,12,1.056e-05
38,67,67,0,134,12.0597,0.0001616
39,24,24,0,48,12.0417,5.584e-05
40,28,28,0,56,12.0357,6.64e-05
41,27,16,11,8,78.6875,0.00077504
42,10,10,0,20,12,2.096e-05
43,112,112,0,8,30.1786,0.0065852
44,57,57,0,114,12.0526,0.00011872
45,23,23,0,8,35.4783,0.00116428
46,61,61,0,8,35.3279,0.00345688
47,13,13,0,26,12,2.72e-05
48,32,32,0,64,12.0312,6.672e-05
49,50,50,0,8,35.22,0.00284404
50,26,26,0,52,12.0385,5.424e-05
51,51,51,0,8,29.4706,0.00288188
52,27,27,0,54,12.037,5.632e-05
53,41,41,0,8,43.2195,0.00229
54,22,22,0,44,12.0455,4.592e-05
55,79,79,0,8,65.2658,0.00459436
56,41,41,0,82,12.0488,8.544e-05
57,98,84,14,8,83.4881,0.00486928
58,55,36,30,8,84.4444,0.00196496
59,7,7,0,6,71,0.000248
60,72,72,0,144,12.0556,0.0001832
61,117,104,13,10,82.4904,0.00609296
62,33,33,0,66,12.0303,7.648e-05
63,5,5,0,10,12,1.056e-05
64,95,95,0,190,12.0526,0.00024064
65,235,187,71,8,78.5134,0.011088
66,58,54,4,10,76.5185,0.00306984
67,90,81,9,8,77.9259,0.00468828
68,168,168,0,336,12.0655,0.00044368
69,43,43,0,86,12.0465,0.00010528
70,56,56,0,112,12.0536,0.00013264
71,192,170,25,8,78.4765,0.0100527
72,145,145,0,290,12.0621,0.00037312
73,117,104,13,10,80.3846,0.00609536
74,97,97,0,194,12.0619,0.00024768
75,82,58,26,8,82.2759,0.00328984
76,48,48,0,96,12.0625,0.00013232
77,29,16,13,8,65.1875,0.0007798
78,13,12,1,8,77.9167,0.00051036
79,9,9,0,18,12,1.888e-05
80,51,42,9,10,82,0.00233256
81,8,8,0,16,12,1.776e-05
82,21,13,8,8,59.4615,0.00057016
83,33,33,0,66,12.0606,8e-05
84,117,102,15,10,71.1275,0.0059464
85,10,10,0,20,12,2.192e-05
86,84,75,9,8,76.92,0.00431632
87,101,72,48,8,63.9167,0.0041558
88,81,81,0,162,12.0494,0.00019552
89,59,59,0,118,12.0508,0.00014752
90,57,57,0,114,12.0526,0.0001328
91,8,8,0,8,80.375,0.00027248
92,5,5,0,10,12,1.056e-05
93,26,24,2,8,79.5417,0.00123488
94,13,13,0,26,12,2.784e-05
95,125,117,9,8,73.0427,0.00689196
96,74,74,0,148,12.0541,0.000172
97,20,19,1,8,83.8421,0.000927
98,322,280,53,8,64.3786,0.0167331
99,10,10,0,20,12,2.128e-05
100,193,193,0,386,12.057,0.00045152
101,49,31,27,10,71.6452,0.00159648
102,187,175,14,10,67.12,0.0103435
103,123,123,0,246,12.0569,0.00028672
104,26,24,2,8,80.875,0.00125164
105,13,13,0,26,12,2.784e-05
106,15,15,0,8,61.4,0.00071092
107,77,65,12,8,78.5385,0.00374044
108,9,9,0,18,12,1.888e-05
109,46,46,0,92,12.0435,0.00010928
110,54,42,12,10,78.8333,0.0022704
111,38,38,0,76,12.0526,9.552e-05
112,19,19,0,8,76.3684,0.00096228
113,75,69,6,8,64.5507,0.00397232
114,11,11,0,22,12,2.304e-05
115,58,58,0,116,12.0517,0.00013936
116,19,19,0,8,56.0526,0.0009666
117,308,288,22,8,74.1701,0.0171906
118,11,11,0,22,12,2.304e-05
119,161,146,15,8,81.2397,0.00862568
120,181,181,0,362,12.0552,0.00043584
121,92,92,0,184,12.0543,0.00022192
122,31,28,3,8,78.1071,0.00150752
123,43,31,16,8,65.871,0.00168672
124,169,142,43,8,61.9085,0.0083698
125,17,17,0,34,12,3.68e-05
126,26,26,0,52,12.0385,6.544e-05
127,105,105,0,210,12.0571,0.00025344
128,116,97,26,8,65.4742,0.00568068
129,32,32,0,8,43.7188,0.00174008
130,17,17,0,34,12,3.552e-05
131,83,72,11,10,70.9722,0.00410064
132,28,25,3,8,79.24,0.00128616
133,56,56,0,112,12.0536,0.00014384
134,15,15,0,30,12,3.2e-05
135,19,19,0,8,71.5789,0.00096524
136,29,29,0,58,12.0345,7.456e-05
