flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,9639,8025,2211,4,74.0295,0.485235
2,10156,8513,2221,4,74.4371,0.51475
3,10187,8393,2563,4,73.7532,0.507492
4,11289,9048,3197,4,75.7089,0.547106
5,9991,7784,3234,4,74.6268,0.47066
6,6304,6304,0,12608,12.0619,0.0157339
7,6509,6506,0,13012,12.061,0.0160142
8,6554,6554,0,13108,12.0618,0.0163688
9,7332,7332,0,14664,12.0622,0.0184091
10,6290,6290,0,12580,12.0631,0.0160501
11,29,19,10,8,76.2632,0.00093636
12,232,172,102,8,67.1512,0.0102114
13,12,12,0,24,12,2.512e-05
14,133,133,0,266,12.0602,0.00032992
15,219,201,18,8,75.5771,0.0119263
16,68,45,33,8,69.6222,0.00252836
17,148,148,0,296,12.0541,0.00035984
18,35,35,0,70,12.0571,8e-05
19,20,15,5,8,79.2667,0.0006902
20,115,88,37,10,73.5,0.00503592
21,53,32,38,8,74.0625,0.00174992
22,9,9,0,18,12,1.888e-05
23,81,81,0,162,12.0617,0.00020544
24,29,29,0,58,12.0345,7.136e-05
25,26,22,5,8,79.5909,0.00110992
26,38,18,33,8,83.2778,0.00089236
27,13,13,0,26,12,2.816e-05
28,14,14,0,28,12,2.992e-05
29,36,36,0,8,71.2222,0.00196456
30,35,21,19,8,77.5714,0.00104532
31,99,79,28,10,71.443,0.0045228
32,19,19,0,38,12.0526,3.968e-05
33,14,14,0,28,12,2.96e-05
34,75,75,0,150,12.0533,0.00018816
35,49,49,0,8,72.551,0.002737
36,26,26,0,52,12.0385,5.424e-05
37,92,71,24,10,75.5634,0.00410768
38,52,40,13,8,76.7,0.0021876
39,62,62,0,124,12.0645,0.00017552
40,30,30,0,60,12.0333,7.6e-05
41,64,42,22,8,72.6905,0.0023158
42,39,26,14,8,71.5385,0.00137344
43,121,95,28,8,69.9368,0.005547
44,34,34,0,68,12.0588,8.752e-05
45,22,22,0,44,12.0455,5.648e-05
46,71,71,0,142,12.0563,0.00017472
47,49,49,0,8,66.449,0.00276316
48,26,26,0,52,12.0385,5.424e-05
49,21,21,0,8,80.5238,0.00105248
50,12,12,0,24,12,2.512e-05
51,41,41,0,8,62.7317,0.00225252
52,22,22,0,44,12.0455,4.592e-05
53,81,61,22,8,74.6721,0.00346624
54,61,48,20,10,77.9375,0.00263336
55,71,53,25,10,76.4717,0.00295016
56,97,76,28,10,77.7895,0.00432656
57,46,46,0,92,12.0435,0.00011728
58,42,42,0,84,12.0476,0.000108
59,46,46,0,92,12.0652,0.00011952
60,57,57,0,114,12.0526,0.00014304
61,103,77,37,8,76.039,0.0044236
62,37,34,3,10,81.3235,0.00181344
63,64,64,0,128,12.0625,0.00017008
64,24,24,0,48,12.0417,5.616e-05
65,11,11,0,8,79.4545,0.00044876
66,73,52,27,8,83.5962,0.00292828
67,7,7,0,14,12,1.472e-05
68,26,18,8,8,81.4444,0.00086552
69,44,44,0,88,12.0682,0.00012432
70,66,47,27,10,65.7447,0.00263048
71,14,14,0,28,12,3.344e-05
72,20,17,3,8,75.9412,0.000824
73,44,44,0,88,12.0455,0.0001144
74,58,44,16,10,77.9773,0.00241224
75,119,97,39,6,74.5464,0.005745
76,10,10,0,20,12,2.096e-05
77,39,39,0,78,12.0513,0.00010784
78,66,66,0,132,12.0455,0.00015152
79,75,56,22,10,71.2321,0.0031264
80,21,16,5,8,75.875,0.00076548
81,45,45,0,90,12.0444,0.00011712
82,10,10,0,20,12,2.096e-05
83,30,30,0,8,49.9667,0.00163868
84,16,16,0,32,12,3.344e-05
85,18,18,0,8,45.2778,0.00087832
86,12,12,0,8,62.1667,0.00053172
87,10,10,0,20,12,2.096e-05
88,24,24,0,8,61.4167,0.00127052
89,7,7,0,14,12,1.472e-05
90,13,13,0,26,12,2.72e-05
91,423,375,55,8,73.7333,0.0225027
92,260,260,0,520,12.0577,0.00063152
93,97,78,19,8,70.3077,0.00450188
94,171,128,61,10,76.4141,0.00749696
95,11,11,0,8,75.3636,0.00046876
96,67,67,0,134,12.0448,0.00015872
97,99,99,0,198,12.0606,0.0002432
98,7,7,0,14,12,1.472e-05
99,36,32,4,10,58.3125,0.00175016
100,28,26,2,8,72.3462,0.00134888
101,75,68,7,8,74.5294,0.00391636
102,21,21,0,42,12.0476,4.608e-05
103,14,14,0,28,12,2.992e-05
104,11,11,0,8,76.9091,0.0004668
105,55,55,0,110,12.0545,0.00013312
106,7,7,0,14,12,1.472e-05
107,47,47,0,8,76.2979,0.00262224
108,25,25,0,50,12.04,5.216e-05
109,224,203,27,10,77.6207,0.0119991
110,149,149,0,298,12.0604,0.00037152
111,63,41,35,8,83.878,0.00224728
112,33,33,0,66,12.0303,7.744e-05
113,53,33,27,10,76.3333,0.00181392
114,88,78,17,8,81.0128,0.00451288
115,31,31,0,62,12.0645,8.608e-05
116,61,61,0,122,12.0492,0.00015168
117,39,26,18,8,74.4231,0.001375
118,55,38,29,8,63.3684,0.00211432
119,55,35,36,8,78.4286,0.00189148
120,21,21,0,42,12.0476,5.184e-05
121,18,18,0,8,76.3333,0.0009066
122,32,32,0,64,12.0625,8.144e-05
123,30,30,0,60,12.0333,7.504e-05
124,10,10,0,20,12,2.096e-05
125,18,18,0,8,61.7778,0.00085936
126,10,10,0,20,12,2.096e-05
127,324,310,15,8,75.9968,0.0185279
128,212,212,0,424,12.0566,0.0005016
129,65,54,11,10,77.3889,0.00305872
130,40,21,29,6,73,0.00114804
131,45,45,0,90,12.0444,0.00011616
132,22,22,0,44,12.0455,4.656e-05
133,12,12,0,8,76.3333,0.00053816
134,7,7,0,14,12,1.472e-05
135,38,34,4,8,76.6765,0.00186172
136,22,22,0,44,12.0455,5.104e-05
137,110,101,9,8,84.3663,0.00591212
