flow_id,size_bytes,start_time,end_time,fct
0,22417,0.5,1,0.5
3,60865,0.80673,1.30673,0.5
1,243416,0.509688,1.48335,0.973664
4,16471,1.05203,1.55203,0.5
5,121249,1.0741,1.5741,0.5
6,42080,1.08384,1.58384,0.5
7,26600,1.40059,1.90059,0.5
8,21369,1.41592,1.91592,0.5
2,286241,0.783858,1.92882,1.14496
9,47238,1.57164,2.07164,0.5
10,25037,1.58175,2.08175,0.5
11,101199,1.58371,2.08371,0.5
12,65873,1.66716,2.16716,0.5
13,94758,1.78748,2.28748,0.5
14,52606,1.85541,2.35541,0.5
15,55707,1.96442,2.46442,0.5
16,32980,2.02383,2.52383,0.5
17,133731,2.04191,2.57683,0.534924
18,66527,2.14347,2.64347,0.5
19,25216,2.28248,2.78248,0.5
20,54177,2.42223,2.92223,0.5
21,83480,2.51944,3.01944,0.5
22,58677,2.56721,3.06721,0.5
23,64697,2.5675,3.0675,0.5
24,102474,2.5684,3.0684,0.5
25,106582,2.66605,3.16605,0.5
26,40032,2.74619,3.24619,0.5
27,10643,3.0159,3.5159,0.5
28,61739,3.08688,3.58688,0.5
29,20698,3.10015,3.60015,0.5
30,56477,3.17144,3.67144,0.5
31,19712,3.25192,3.75192,0.5
32,53097,3.26152,3.76152,0.5
33,138577,3.26341,3.81771,0.554308
34,74852,3.35833,3.85833,0.5
35,18301,3.43957,3.93957,0.5
36,39403,3.71634,4.21634,0.5
37,21018,3.84116,4.34116,0.5
38,12665,3.87603,4.37603,0.5
39,30511,3.9051,4.4051,0.5
41,102647,4.21678,4.71678,0.5
43,11143,4.25901,4.75901,0.5
42,178712,4.22083,4.93568,0.714848
44,40753,4.50723,5.00723,0.5
45,32366,4.55345,5.05345,0.5
46,84149,4.56346,5.06346,0.5
47,11094,4.63784,5.13784,0.5
48,63108,4.76804,5.26804,0.5
50,54046,5.17802,5.67802,0.5
51,40794,5.42524,5.92524,0.5
52,108762,5.44351,5.94351,0.5
49,255669,5.03682,6.0595,1.02268
53,33019,5.69451,6.19451,0.5
40,543064,4.04018,6.21244,2.17226
54,50878,5.7383,6.2383,0.5
55,45463,5.74047,6.24047,0.5
56,21725,5.80435,6.30435,0.5
57,20544,5.97016,6.47016,0.5
59,65298,6.35701,6.85701,0.5
60,27605,6.38165,6.88165,0.5
61,12826,6.60504,7.10504,0.5
62,44771,6.69392,7.19392,0.5
63,142547,6.80757,7.37776,0.570188
64,53881,6.96183,7.46183,0.5
65,8184,7.13835,7.63835,0.5
66,91317,7.25871,7.75871,0.5
67,39484,7.39939,7.89939,0.5
68,9072,7.44399,7.94399,0.5
69,14592,7.48217,7.98217,0.5
58,447073,6.19677,7.98506,1.78829
70,36072,7.53683,8.03683,0.5
71,54929,7.57889,8.07889,0.5
72,54750,7.58055,8.08055,0.5
73,34927,7.74258,8.24258,0.5
74,28969,7.74952,8.24952,0.5
75,99533,7.79699,8.29699,0.5
76,15234,7.80458,8.30458,0.5
77,166230,7.86748,8.5324,0.66492
78,30380,8.04998,8.54998,0.5
80,12978,8.07712,8.57712,0.5
81,26371,8.08788,8.58788,0.5
83,67283,8.12583,8.62583,0.5
84,149943,8.16298,8.76276,0.599772
85,11243,8.46217,8.96217,0.5
86,115356,8.46702,8.96702,0.5
87,76444,8.62777,9.12777,0.5
88,104375,8.66399,9.16399,0.5
90,22876,8.71102,9.21102,0.5
91,78447,8.9426,9.4426,0.5
93,54575,8.97985,9.47985,0.5
94,45948,9.06595,9.56595,0.5
79,391542,8.07142,9.63759,1.56617
82,388851,8.11022,9.66562,1.5554
