flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,9477,7996,1962,4,73.1299,0.483481
2,10608,8922,2274,4,72.7595,0.539486
3,10579,8838,2383,4,73.3889,0.534406
4,8811,7359,1954,4,72.2814,0.444956
5,10506,9007,1988,4,72.6105,0.544627
6,5951,5951,0,11902,12.0612,0.0146858
7,6792,6792,0,13584,12.061,0.016692
8,6846,6838,0,13676,12.0616,0.0169931
9,5556,5556,0,11112,12.0605,0.0135419
10,6604,6603,0,13206,12.0597,0.015913
11,29,16,14,8,57.375,0.0007478
12,47,28,24,8,70.8929,0.00147912
13,54,35,34,8,74.5429,0.00191412
14,17,10,13,6,68.7,0.00048328
15,11,11,0,22,12,2.4e-05
16,38,28,10,8,75.9643,0.00147152
17,27,27,0,54,12.037,7.456e-05
18,33,33,0,66,12.0606,9.6e-05
19,9,9,0,18,12,2.112e-05
20,135,113,22,8,77.7788,0.0066578
21,21,21,0,42,12.0476,4.96e-05
22,20,14,6,8,74.7143,0.00064072
23,86,86,0,172,12.0581,0.00022448
24,9,9,0,18,12,1.888e-05
25,41,23,23,8,66.3043,0.00117364
26,19,19,0,38,12.0526,4.672e-05
27,85,82,3,8,80.9878,0.00477236
28,63,63,0,126,12.0476,0.0001488
29,9,9,0,8,77.3333,0.00033988
30,6,6,0,12,12,1.264e-05
31,13,13,0,8,62.4615,0.00060356
32,94,71,31,10,68.1549,0.00405192
33,63,48,15,8,72.6667,0.00267972
34,8,8,0,16,12,1.68e-05
35,28,21,7,8,70.3333,0.00107052
36,59,59,0,118,12.0508,0.00015488
37,38,38,0,76,12.0526,0.00010256
38,14,14,0,28,12,3.056e-05
39,18,18,0,8,62,0.00087224
40,65,64,1,10,67.6406,0.00364336
41,10,10,0,20,12,2.096e-05
42,53,53,0,106,12.0377,0.0001184
43,16,16,0,8,56.375,0.0007796
44,9,9,0,18,12,1.888e-05
45,167,139,31,10,67.9928,0.00822384
46,123,123,0,246,12.065,0.00032448
47,109,101,8,8,69.9208,0.00591496
48,74,74,0,148,12.0541,0.00017168
49,38,35,3,10,77.4857,0.00187856
50,20,13,7,8,76.3077,0.00055492
51,25,25,0,50,12.04,5.568e-05
52,8,8,0,16,12,1.712e-05
53,14,14,0,8,53,0.00066656
54,8,8,0,16,12,1.68e-05
55,33,33,0,8,60.0303,0.00178244
56,18,18,0,36,12,3.76e-05
57,51,51,0,8,47.8235,0.00286652
58,27,27,0,54,12.037,5.632e-05
59,81,81,0,8,63.3827,0.00470092
60,20,20,0,8,47.95,0.00102752
61,42,42,0,84,12.0476,8.752e-05
62,11,11,0,22,12,2.304e-05
63,43,43,0,8,56.6047,0.0024018
64,24,24,0,8,61.375,0.00121948
65,23,23,0,46,12.0435,4.8e-05
66,13,13,0,26,12,2.72e-05
67,11,11,0,8,74.6364,0.00047896
68,17,17,0,8,67.7059,0.000822
69,30,23,7,8,67.2609,0.00117372
70,79,74,5,10,67.4054,0.00426064
71,7,7,0,14,12,1.472e-05
72,10,10,0,20,12,2.096e-05
73,13,13,0,26,12,2.752e-05
74,66,66,0,132,12.0455,0.00014896
75,66,65,1,10,68.9846,0.00371744
76,47,47,0,94,12.0426,0.00010304
77,15,15,0,8,76.1333,0.00070036
78,9,9,0,18,12,1.888e-05
79,132,123,10,8,73.3902,0.00723904
80,34,34,0,8,70.4412,0.00187224
81,74,74,0,148,12.0541,0.00017264
82,18,18,0,36,12,3.76e-05
83,98,98,0,8,78.6122,0.0057078
84,81,64,23,8,54.6406,0.00369084
85,50,50,0,100,12.04,0.00010416
86,44,44,0,88,12.0455,0.00010064
87,21,21,0,8,63.4286,0.00105888
88,97,85,12,8,68.6706,0.00494092
89,12,12,0,24,12,2.512e-05
90,14,14,0,8,56.1429,0.00062876
91,49,49,0,98,12.0408,0.00010944
92,31,22,9,8,68,0.00110608
93,8,8,0,16,12,1.68e-05
94,110,88,34,10,66.4659,0.00507176
95,16,16,0,32,12,3.536e-05
96,54,54,0,108,12.037,0.00011664
97,32,32,0,8,47.6875,0.00170756
98,17,17,0,34,12,3.552e-05
99,14,14,0,8,21.1429,0.00067096
100,8,8,0,16,12,1.68e-05
101,118,118,0,8,50.2203,0.006927
102,60,60,0,120,12.05,0.00012496
103,20,20,0,8,59.15,0.00101912
104,11,11,0,22,12,2.304e-05
105,21,21,0,8,29,0.00108596
106,44,44,0,8,49.9091,0.00245208
107,12,12,0,24,12,2.512e-05
108,7,7,0,8,49.7143,0.0002178
109,23,23,0,46,12.0435,4.8e-05
110,20,20,0,8,56.95,0.00100996
111,5,5,0,10,12,1.056e-05
112,11,11,0,22,12,2.304e-05
113,15,15,0,8,44.6,0.00069872
114,34,34,0,8,70.6471,0.0018806
115,9,9,0,18,12,1.888e-05
116,18,18,0,36,12,3.76e-05
117,27,26,2,8,74.5385,0.0013944
118,96,89,7,10,68.3708,0.00510952
119,14,14,0,28,12,2.96e-05
120,52,35,32,8,70.9143,0.00190168
121,71,53,32,8,63.3774,0.00297548
122,65,65,0,130,12.0462,0.00015392
123,30,30,0,60,12.0333,7.664e-05
124,40,40,0,80,12.05,9.776e-05
125,14,14,0,8,66.6429,0.0006494
126,8,8,0,16,12,1.68e-05
127,16,16,0,8,57.1875,0.00075436
128,71,71,0,8,77.8169,0.004096
129,9,9,0,18,12,1.888e-05
130,37,37,0,74,12.027,7.712e-05
131,20,20,0,8,73.8,0.00102812
132,11,11,0,22,12,2.304e-05
133,107,89,21,8,67.3708,0.00515156
134,31,28,3,8,73.5357,0.00150836
135,22,20,2,8,77.2,0.00099728
136,68,68,0,136,12.0588,0.00017552
137,16,16,0,32,12,3.376e-05
138,12,12,0,24,12,2.512e-05
139,31,23,8,8,74.9565,0.00117932
140,15,15,0,30,12,3.2e-05
141,29,29,0,8,61.5862,0.00153448
142,16,16,0,32,12,3.344e-05
143,23,23,0,8,28.6957,0.00115972
144,13,13,0,26,12,2.72e-05
145,12,12,0,8,23.9167,0.00050488
146,7,7,0,14,12,1.472e-05
147,20,20,0,8,37.3,0.00101944
148,11,11,0,22,12,2.304e-05
149,64,64,0,8,47.3438,0.00364048
150,33,33,0,66,12.0303,6.88e-05
151,32,32,0,8,41.6875,0.00175792
152,17,17,0,34,12,3.552e-05
153,55,43,14,8,63.7442,0.00239356
154,53,49,4,10,70.7551,0.00268568
155,28,28,0,56,12.0357,6.448e-05
156,55,48,7,10,72.5833,0.0026584
157,32,32,0,64,12.0312,7.344e-05
158,40,40,0,80,12.05,9.68e-05
159,43,43,0,8,68.5581,0.0023752
160,124,119,5,8,79.5462,0.00698772
161,71,50,34,10,77.7,0.00282304
162,23,23,0,46,12.0435,4.8e-05
163,85,85,0,170,12.0588,0.00019968
164,48,48,0,96,12.0625,0.00012464
165,16,16,0,8,77.8125,0.00076924
166,232,202,35,8,80.6535,0.0119923
167,9,9,0,18,12,1.888e-05
168,158,158,0,316,12.0633,0.000412
169,87,61,40,10,77.6721,0.00345736
170,59,41,36,8,77.5366,0.00226532
171,54,54,0,108,12.0556,0.00014256
172,34,34,0,68,12.0588,8.528e-05
173,77,60,21,8,79.15,0.0034116
174,49,49,0,98,12.0612,0.000128
175,71,58,13,8,82.0345,0.00331164
176,49,49,0,98,12.0408,0.00011904
177,202,184,22,8,75.6033,0.0109451
178,64,45,36,8,78.4444,0.00253308
179,122,99,38,8,77.3838,0.00576172
180,209,176,55,8,77.2727,0.0104647
181,119,119,0,238,12.0504,0.00027552
182,36,36,0,72,12.0556,8.464e-05
183,52,52,0,104,12.0385,0.00011024
184,375,346,34,8,75.1676,0.0207361
185,130,130,0,260,12.0538,0.00030928
186,228,228,0,456,12.057,0.00053136
187,8,8,0,8,74.75,0.00025288
188,5,5,0,10,12,1.056e-05
189,26,26,0,8,80.5385,0.00136476
190,297,229,81,10,77.4541,0.0136109
191,14,14,0,28,12,2.928e-05
192,63,46,28,8,76.5,0.00256212
193,192,192,0,384,12.0573,0.00047952
194,36,36,0,72,12.0556,8.912e-05
195,15,13,2,8,84.0769,0.0005536
196,8,8,0,16,12,1.744e-05
197,55,40,21,8,80.725,0.00221904
198,26,15,20,8,79.0667,0.00068864
199,30,16,26,8,80.9375,0.00073756
200,36,36,0,72,12.0556,9.104e-05
201,105,100,5,8,74.86,0.00583004
202,12,12,0,24,12,2.672e-05
203,12,12,0,24,12,2.672e-05
204,12,9,3,8,75.8889,0.00033376
205,31,18,15,8,76.3889,0.00089276
206,83,83,0,166,12.0602,0.0002032
207,6,6,0,12,12,1.264e-05
208,12,12,0,24,12,2.512e-05
209,64,54,10,8,80.0926,0.00308356
210,47,33,16,8,79.9394,0.00177536
211,111,75,65,8,76.6,0.00433256
212,41,41,0,82,12.0488,0.0001072
213,29,29,0,58,12.0345,7.392e-05
214,65,65,0,130,12.0615,0.0001616
215,58,37,26,8,81.8378,0.00202036
216,48,31,19,8,81.6129,0.00167752
217,31,31,0,62,12.0645,8.384e-05
218,129,102,38,8,74.3627,0.0059846
219,23,19,4,8,74.6842,0.0009632
220,118,91,38,8,73.2637,0.00529216
221,28,28,0,56,12.0357,7.664e-05
222,74,74,0,148,12.0541,0.00018288
223,13,13,0,26,12,2.816e-05
224,87,87,0,174,12.0575,0.00024128
225,148,132,17,10,79.9621,0.00778992
226,108,108,0,216,12.0648,0.00028624
227,41,20,28,8,81.1,0.00097792
228,15,15,0,30,12,3.488e-05
229,15,15,0,8,76.5333,0.00068288
230,144,129,16,8,70.8217,0.00759148
231,9,9,0,18,12,1.888e-05
232,100,84,17,8,69.5476,0.00488452
233,87,87,0,174,12.0575,0.00020928
234,78,71,13,10,69.7042,0.00409664
235,57,57,0,114,12.0526,0.00013984
236,62,62,0,124,12.0484,0.00014
237,10,10,0,8,64.2,0.0004022
238,6,6,0,12,12,1.264e-05
239,54,42,20,8,80.9524,0.00235904
240,127,98,37,8,78.8163,0.0057274
241,30,30,0,60,12.0333,7.6e-05
242,33,19,22,8,70.1053,0.00095884
243,89,89,0,178,12.0562,0.00021536
244,18,18,0,36,12.0556,4.336e-05
245,27,20,7,8,84.6,0.00099888
246,87,60,35,8,74.8667,0.00340784
247,13,13,0,26,12,2.752e-05
248,51,51,0,102,12.0588,0.000128
249,41,33,8,8,77.1515,0.00177776
250,23,23,0,46,12.0435,5.312e-05
251,33,28,5,8,80.5,0.00151244
252,19,19,0,38,12.0526,4.256e-05
253,25,25,0,8,76.64,0.00130628
254,14,14,0,28,12,2.928e-05
255,14,14,0,8,59.2143,0.00066948
256,8,8,0,16,12,1.68e-05
257,241,205,42,10,77.5707,0.0122001
258,183,183,0,366,12.0656,0.00048896
259,112,92,23,10,75.1413,0.00535648
260,15,10,5,8,82.3,0.00041132
261,73,73,0,146,12.0548,0.00018848
262,8,6,2,8,75.6667,0.00015024
263,8,8,0,16,12,1.776e-05
264,5,5,0,10,12,1.056e-05
265,98,88,10,10,75.5568,0.0050568
266,96,79,22,8,76.3038,0.00457516
267,68,68,0,136,12.0588,0.00017584
268,60,60,0,120,12.05,0.00014896
269,38,20,18,8,75.95,0.0010008
270,17,17,0,34,12.0588,4e-05
271,283,224,70,8,78.2679,0.013324
272,133,96,40,8,82.4583,0.005579
273,205,205,0,410,12.0634,0.00053952
274,112,97,18,8,79.6392,0.0056486
275,87,87,0,174,12.069,0.00024576
276,76,76,0,152,12.0526,0.00018736
277,217,161,78,8,80.8509,0.0095572
278,47,27,33,8,81.6667,0.00141764
279,146,146,0,292,12.0685,0.00041616
280,55,39,20,8,80.0513,0.00213512
281,25,25,0,50,12.04,6.656e-05
282,103,82,27,8,81.9878,0.00477268
283,33,33,0,66,12.0606,8e-05
284,69,69,0,138,12.058,0.00017856
285,52,35,21,10,81.1143,0.00193984
286,248,187,80,8,78.4225,0.01113
287,33,33,0,66,12.0606,8.64e-05
288,169,169,0,338,12.0651,0.00044736
289,313,255,66,6,80.2902,0.0153052
290,156,120,48,10,79.4333,0.00698024
291,36,19,25,8,80.3684,0.00092084
292,213,213,0,426,12.061,0.00055552
293,112,112,0,224,12.0625,0.00028752
294,14,14,0,28,12,3.088e-05
295,244,217,28,8,80.0461,0.0129363
296,174,174,0,348,12.0575,0.00043344
297,23,16,7,8,78.8125,0.00078312
298,10,10,0,20,12,2.096e-05
299,93,70,30,10,80.6857,0.003988
300,80,61,24,8,79.4098,0.00348264
301,60,60,0,120,12.0667,0.00017104
302,46,46,0,92,12.0435,0.00011184
303,43,26,19,8,80.5769,0.0013776
304,65,43,37,8,79.4186,0.00239328
305,39,23,20,8,81.8696,0.00119568
306,22,22,0,44,12.0455,6.128e-05
307,41,41,0,82,12.0488,0.0001088
308,241,177,76,8,73.8757,0.0105052
309,19,19,0,38,12.0526,4.352e-05
310,140,140,0,280,12.0571,0.00036336
311,15,15,0,8,71.7333,0.00069164
312,9,9,0,18,12,1.888e-05
313,12,12,0,8,82.3333,0.00051564
314,36,19,17,8,76.1579,0.00094624
315,295,161,228,8,77.5528,0.00953444
316,83,59,26,8,79.8814,0.00338176
317,7,7,0,14,12,1.472e-05
318,18,18,0,36,12.0556,4.592e-05
319,151,151,0,302,12.0596,0.0003952
320,113,102,14,10,80.1176,0.00592808
321,56,56,0,112,12.0536,0.0001528
322,80,80,0,160,12.0625,0.00020528
323,31,18,23,8,83.6111,0.00086632
324,52,38,17,8,77.9737,0.00211484
325,249,204,57,8,75.5882,0.012139
326,16,16,0,32,12,3.76e-05
327,31,31,0,62,12.0645,8e-05
328,154,154,0,308,12.0584,0.00036464
329,50,47,3,8,82.9362,0.00263936
330,36,36,0,72,12.0278,7.984e-05
331,16,16,0,8,76.625,0.00074784
332,15,14,1,8,81.3571,0.00066824
333,79,58,23,10,78.7586,0.00332984
334,9,9,0,18,12,1.888e-05
335,54,54,0,108,12.0556,0.00014448
336,33,20,13,8,78.8,0.00102136
337,16,16,0,32,12,3.728e-05
338,203,158,52,8,76.0949,0.00937776
339,24,13,11,8,79.6923,0.00058816
340,131,131,0,262,12.0611,0.00034752
341,10,10,0,20,12,2.224e-05
342,9,9,0,8,65.3333,0.00031864
343,62,41,39,8,79.2439,0.0022962
344,6,6,0,12,12,1.264e-05
345,53,27,42,8,71.2963,0.00144964
346,35,35,0,70,12.0571,8.736e-05
347,17,17,0,8,85.3529,0.00079772
348,20,20,0,40,12.05,4.432e-05
349,96,72,35,8,83.9722,0.00417628
350,160,122,58,8,75.6639,0.0071792
351,10,10,0,20,12,2.096e-05
352,63,63,0,126,12.0476,0.00016128
353,69,43,40,6,75.3721,0.00245696
354,91,91,0,182,12.0549,0.000216
355,64,41,35,8,80.7317,0.00229208
356,43,43,0,86,12.0465,0.0001008
357,35,30,7,8,78.5,0.00162048
358,39,39,0,78,12.0513,0.000104
359,51,26,30,8,79.8077,0.00136328
360,20,20,0,40,12.05,4.56e-05
