flow_id,size_bytes,start_time,end_time,fct
0,37265,0.5,1,0.5
1,40948,0.750851,1.25085,0.5
2,20141,0.794568,1.29457,0.5
3,28616,0.802987,1.30299,0.5
4,27295,0.947537,1.44754,0.5
5,16784,0.982647,1.48265,0.5
6,18754,1.11428,1.61428,0.5
7,21175,1.15396,1.65396,0.5
8,95894,1.70583,2.20583,0.5
9,6767,1.85702,2.35702,0.5
10,110506,1.97444,2.47444,0.5
11,97303,2.17884,2.67884,0.5
13,38364,2.34459,2.84459,0.5
12,170870,2.26552,2.949,0.68348
14,36824,2.61743,3.11743,0.5
15,11945,2.95243,3.45243,0.5
16,38796,2.98838,3.48838,0.5
17,29717,2.992,3.492,0.5
18,13480,3.17267,3.67267,0.5
19,64500,3.33119,3.83119,0.5
20,23935,3.35689,3.85689,0.5
21,34536,3.40524,3.90524,0.5
23,50560,3.49411,3.99411,0.5
24,62983,3.56069,4.06069,0.5
22,164199,3.42181,4.0786,0.656796
25,60167,3.72233,4.22233,0.5
26,119662,3.74683,4.24683,0.5
27,25556,3.78692,4.28692,0.5
28,111428,3.79996,4.29996,0.5
29,9226,3.92088,4.42088,0.5
30,23365,3.97985,4.47985,0.5
31,30674,4.02504,4.52504,0.5
32,42865,4.09917,4.59917,0.5
33,142549,4.12689,4.69709,0.570196
34,110437,4.38545,4.88545,0.5
35,8276,4.39162,4.89162,0.5
36,60458,4.52581,5.02581,0.5
37,54244,4.58983,5.08983,0.5
38,113086,4.63837,5.13837,0.5
39,72866,4.69986,5.19986,0.5
40,49160,4.72315,5.22315,0.5
41,55659,4.74687,5.24687,0.5
42,34343,4.75843,5.25843,0.5
43,62279,4.81357,5.31357,0.5
44,26615,4.95611,5.45611,0.5
45,47414,4.99204,5.49204,0.5
47,74386,5.16087,5.66087,0.5
48,83283,5.20979,5.70979,0.5
49,10954,5.24678,5.74678,0.5
50,20544,5.43233,5.93233,0.5
51,15908,5.52178,6.02178,0.5
52,49155,5.52963,6.02963,0.5
54,26197,5.67776,6.17776,0.5
53,164896,5.63281,6.29239,0.659584
56,67693,5.89104,6.39104,0.5
57,25093,5.91239,6.41239,0.5
46,397676,5.03112,6.62183,1.5907
55,275421,5.69052,6.7922,1.10168
58,211855,6.07081,6.91823,0.84742
60,21042,6.55146,7.05146,0.5
61,73939,6.7118,7.2118,0.5
62,64189,6.98114,7.48114,0.5
63,228817,7.08158,7.99685,0.915268
65,125619,7.81638,8.31886,0.502476
66,60731,7.96601,8.46601,0.5
67,29282,8.05473,8.55473,0.5
68,38480,8.10001,8.60001,0.5
69,37505,8.12397,8.62397,0.5
70,44233,8.16633,8.66633,0.5
71,99307,8.33304,8.83304,0.5
64,301118,7.65255,8.85702,1.20447
72,75954,8.50638,9.00638,0.5
73,51077,8.68383,9.18383,0.5
74,49139,8.80402,9.30402,0.5
75,43902,8.89151,9.39151,0.5
59,811581,6.16244,9.40876,3.24632
76,57472,8.96601,9.46601,0.5
77,50704,8.96799,9.46799,0.5
78,8186,9.01074,9.51074,0.5
79,58343,9.28919,9.78919,0.5
80,98172,9.5165,10.0165,0.5
81,50509,9.57843,10.0784,0.5
82,102204,9.82264,10.3226,0.5
85,54657,10.3984,10.8984,0.5
86,93775,10.4731,10.9731,0.5
84,202046,10.2127,11.0208,0.808184
88,32911,10.6097,11.1097,0.5
89,76347,10.616,11.116,0.5
90,13926,10.6632,11.1632,0.5
91,15390,10.7082,11.2082,0.5
87,175725,10.5081,11.211,0.7029
92,60627,10.7949,11.2949,0.5
95,19992,11.3688,11.8688,0.5
96,16137,11.3766,11.8766,0.5
93,191041,11.3637,12.1278,0.764164
94,194654,11.3644,12.143,0.778616
98,20847,11.7568,12.2568,0.5
99,58631,11.7615,12.2615,0.5
100,49470,11.9054,12.4054,0.5
101,35476,11.9693,12.4693,0.5
102,156415,11.9968,12.6224,0.62566
103,32145,12.2587,12.7587,0.5
104,17640,12.2815,12.7815,0.5
105,5577,12.2837,12.7837,0.5
107,44632,12.3826,12.8826,0.5
97,328565,11.7332,13.0474,1.31426
106,175931,12.3645,13.0682,0.703724
108,15784,12.6013,13.1013,0.5
109,72671,12.9708,13.4708,0.5
111,39879,13.115,13.615,0.5
112,31580,13.1268,13.6268,0.5
113,40018,13.1501,13.6501,0.5
114,38960,13.417,13.917,0.5
115,49270,13.5559,14.0559,0.5
83,1038773,9.98696,14.142,4.15509
116,75726,13.7825,14.2825,0.5
117,23385,13.9336,14.4336,0.5
118,53379,13.9352,14.4352,0.5
120,46933,14.1364,14.6364,0.5
124,99759,14.4945,14.9945,0.5
125,110284,14.5165,15.0165,0.5
126,28066,14.5198,15.0198,0.5
127,12620,14.537,15.037,0.5
110,516080,12.9752,15.0396,2.06432
122,191707,14.274,15.0409,0.766828
128,20876,14.5478,15.0478,0.5
121,241099,14.1598,15.1242,0.964396
129,101623,14.6855,15.1855,0.5
123,361387,14.3493,15.7949,1.44555
131,14941,15.3285,15.8285,0.5
132,96606,15.4308,15.9308,0.5
133,89020,15.5747,16.0747,0.5
119,505964,14.0907,16.1146,2.02386
134,61278,15.6311,16.1311,0.5
135,60575,15.7331,16.2331,0.5
136,35717,16.05,16.55,0.5
130,352697,15.2024,16.6132,1.41079
