flow_id,tx_packets,rx_packets,lost_packets,retx_packets,mean_delay_ms,throughput_mbps
1,9283,8870,430,4,62.9219,0.536341
2,11224,10799,456,4,62.7636,0.653007
3,12648,11858,1113,4,63.4497,0.717055
4,13752,13241,555,4,62.2787,0.800699
5,11772,11014,1099,4,61.7411,0.66601
6,5222,5222,0,10444,12.0548,0.0115035
7,6290,6290,0,12580,12.0548,0.0138734
8,7278,7278,0,14556,12.0565,0.0165563
9,7896,7895,0,15790,12.0554,0.0175981
10,6637,6633,0,13266,12.0556,0.0148429
11,55,39,16,8,79.4103,0.00217448
12,30,18,21,8,82.5556,0.00086096
13,30,30,0,60,12.0333,7.536e-05
14,17,17,0,34,12.0588,4.16e-05
15,16,15,1,8,80.2667,0.00072568
16,9,9,0,18,12,1.888e-05
17,49,38,13,10,84.8158,0.00208944
18,32,32,0,64,12.0625,8.368e-05
19,66,59,7,8,85.5085,0.00335528
20,21,15,6,8,74.1333,0.00072816
21,53,48,5,8,83.1458,0.00268496
22,43,43,0,86,12.0465,9.92e-05
23,65,56,13,8,75.6964,0.0031754
24,68,63,5,8,82.873,0.003597
25,11,11,0,22,12,2.592e-05
26,32,32,0,64,12.0312,7.472e-05
27,36,36,0,72,12.0556,8.176e-05
28,115,106,9,8,81.4245,0.0062014
29,46,46,0,92,12.0435,0.00010544
30,65,65,0,130,12.0462,0.00015136
31,60,60,0,8,79.6833,0.00342852
32,31,31,0,62,12.0323,6.464e-05
33,15,15,0,8,65.3333,0.0006834
34,9,9,0,18,12,1.888e-05
35,45,45,0,8,79.2444,0.00252472
36,24,24,0,48,12.0417,5.008e-05
37,44,40,4,8,74.025,0.002211
38,71,56,15,8,79.7857,0.00320192
39,24,24,0,48,12.0417,5.328e-05
40,42,42,0,84,12.0476,0.00010928
41,39,35,4,8,77.7429,0.00191192
42,52,45,7,8,74.4,0.00253448
43,12,9,3,8,77.4444,0.00031456
44,22,22,0,44,12.0455,4.976e-05
45,30,30,0,60,12.0333,6.864e-05
46,7,7,0,14,12,1.6e-05
47,21,21,0,8,66.1429,0.00108452
48,12,12,0,24,12,2.512e-05
49,42,40,2,8,76.825,0.00219308
50,23,23,0,46,12.0435,5.056e-05
51,9,9,0,8,84.6667,0.0003508
52,6,6,0,12,12,1.264e-05
53,14,14,0,8,75.3571,0.00065932
54,8,8,0,16,12,1.68e-05
55,112,90,26,10,78.4111,0.00516576
56,58,48,10,10,80.4167,0.00265272
57,70,70,0,140,12.0571,0.00017904
58,33,33,0,66,12.0303,7.776e-05
59,51,49,2,8,78.0816,0.00275308
60,239,218,24,8,75.3119,0.012965
61,14,10,4,8,81.2,0.00037268
62,64,60,4,8,82.0667,0.00342224
63,35,35,0,70,12.0286,7.872e-05
64,149,149,0,298,12.0537,0.00033728
65,7,7,0,14,12,1.472e-05
66,38,38,0,76,12.0526,8.688e-05
67,743,673,74,8,76.6657,0.0405068
68,573,573,0,1146,12.0663,0.00156192
69,44,36,8,8,70.8611,0.0019578
70,25,25,0,50,12.04,6.176e-05
71,20,17,3,8,74.9412,0.0008468
72,52,44,10,8,72.3409,0.00242816
73,133,118,15,10,73.4407,0.0068952
74,12,12,0,24,12,2.704e-05
75,30,30,0,60,12.0333,6.832e-05
76,83,83,0,166,12.0602,0.00020384
77,8,8,0,8,66.5,0.00026052
78,28,28,0,8,75.3929,0.00150548
79,5,5,0,10,12,1.056e-05
80,15,15,0,30,12,3.136e-05
81,11,11,0,8,81.8182,0.00048936
82,7,7,0,14,12,1.472e-05
83,24,24,0,8,69.1667,0.00124556
84,91,78,13,8,79.7179,0.0045218
85,13,13,0,26,12,2.72e-05
86,52,52,0,104,12.0577,0.00012816
87,45,34,16,8,71.7353,0.00185464
88,25,25,0,50,12.04,5.92e-05
89,55,40,25,8,75.1,0.00219068
90,34,28,6,8,69.4643,0.0014674
91,31,31,0,62,12.0323,8.064e-05
92,29,20,16,8,81.4,0.00100792
93,18,18,0,36,12.0556,4.08e-05
94,18,18,0,36,12.0556,4.144e-05
95,239,209,40,8,81.311,0.0124449
96,191,191,0,382,12.0628,0.00051936
97,92,79,13,8,80.0759,0.00454464
98,66,66,0,132,12.0455,0.00015536
99,34,30,4,8,85.9667,0.00160844
100,18,18,0,36,12,3.824e-05
101,43,35,8,8,80.8857,0.00192324
102,13,13,0,8,80,0.00059708
103,166,148,18,8,69.6081,0.00876216
104,32,32,0,64,12.0312,8.016e-05
105,8,8,0,16,12,1.68e-05
106,110,110,0,220,12.0545,0.00026224
107,42,38,4,8,81.1316,0.0021022
108,35,27,8,8,80.6296,0.00142812
109,21,21,0,42,12.0476,4.448e-05
110,64,53,11,8,77.283,0.00299156
111,20,20,0,40,12.05,5.008e-05
112,46,46,0,92,12.0435,0.00010832
113,15,15,0,8,82.4667,0.00072788
114,9,9,0,18,12,1.888e-05
115,14,14,0,8,82.1429,0.00066668
116,8,8,0,16,12,1.68e-05
117,34,26,8,8,79.8077,0.00135992
118,34,25,9,8,83.92,0.001322
119,21,21,0,42,12.0476,4.96e-05
120,20,20,0,40,12.05,4.752e-05
121,19,19,0,8,79.7368,0.00092504
122,11,11,0,22,12,2.304e-05
123,66,54,12,8,83.6852,0.00305816
124,40,40,0,80,12.05,9.648e-05
125,188,173,16,10,82.6474,0.0101778
126,54,45,9,8,85.4222,0.00248916
127,48,38,10,10,85.3947,0.00205384
128,118,118,0,236,12.0508,0.0002776
129,34,34,0,68,12.0588,8.368e-05
130,33,33,0,66,12.0606,8.384e-05
131,14,10,4,8,86.2,0.00038928
132,8,8,0,16,12,1.904e-05
133,14,14,0,8,81.0714,0.00061456
134,8,8,0,16,12,1.68e-05
135,15,15,0,8,82.8,0.00072332
136,25,20,5,8,83.9,0.00098908
137,9,9,0,18,12,1.888e-05
138,60,58,2,10,73.0172,0.00331608
139,16,16,0,8,78,0.00078276
140,39,36,3,10,79.25,0.00189256
141,15,15,0,30,12,3.584e-05
142,29,19,11,10,76.2105,0.00087944
